critics_score,audience_score,title,release_dates,cast,year,alternate_ids
-1,100,Regression,{'theater': '2015-08-28'},"Ethan Hawke,Emma Watson,",2015,
-1,0,Robert Zemeckis Untitled,{'theater': '2015-10-02'},,2015,{u'imdb': u'1856101'}
-1,100,The Wedding Ringer,{'theater': '2015-01-16'},"Kevin Hart,",2015,{u'imdb': u'3682448'}
-1,0,Red Riding,{},,2015,
-1,100,Ricky Stanicky,{},"Jim Carrey,James Franco,",2015,
-1,96,Seventh Son,{'theater': '2015-02-06'},"Jeff Bridges,Julianne Moore,Ben Barnes,Alicia Vikander,Kit Harington,",2015,{u'imdb': u'0803096'}
-1,97,Spongebob Squarepants 2,{'theater': '2015-02-13'},"Clancy Brown,Tom Kenny,Bill Fagerbakke,Rodger BumpassMr. Lawrence,Carolyn Lawrence,",2015,{u'imdb': u'3183660'}
-1,99,Spy,{'theater': '2015-05-22'},"Melissa McCarthy,Jason Statham,Rose Byrne,",2015,
-1,98,Selfless,{'theater': '2015-02-27'},"Ryan Reynolds,",2015,{u'imdb': u'2386490'}
-1,90,Trolls,{'theater': '2016-11-04'},"Jason Schwartzman,Colin Moretz,Chloe Grace Moretz,",2015,{u'imdb': u'0072448'}
-1,99,Ted 2,{'theater': '2015-06-26'},"Mark Wahlberg,Seth MacFarlane,",2015,{u'imdb': u'2948356'}
-1,100,Trainwreck,{'theater': '2015-07-24'},"Amy Schumer,",2015,{u'imdb': u'2395427'}
-1,86,Train Wreck,{'theater': '2015-07-24'},"Amy Schumer,Bill Hader,",2015,{u'imdb': u'1630029'}
-1,93,Uncharted: Drake's Fortune,{},,2015,{u'imdb': u'2692250'}
-1,0,Untitled Jason Bourne Sequel,{},"Jeremy Renner,",2015,{u'imdb': u'0478970'}
-1,0,Untitled John Belushi Project,{},"Emile Hirsch,Miles Teller,",2015,{u'imdb': u'2094766'}
-1,0,X-Force,{},,2015,
-1,0,Y: The Last Man,{},,2015,
-1,0,Yukikaze,{},"Tom Cruise,",2015,{u'imdb': u'2199571'}
-1,98,Transformers: Age of Extinction,{'theater': '2014-06-27'},"Mark Wahlberg,Jack Reynor,Nicola Peltz,Stanley Tucci,Robert Foxworth,",2014,{u'imdb': u'2126355'}
53,72,The Amazing Spider-Man 2,{'theater': '2014-05-02'},"Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Chris Cooper,",2014,
-1,99,The Hobbit: The Battle of The Five Armies,{'theater': '2014-12-17'},"Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,Elijah Wood,",2014,
-1,99,Dawn Of The Planet Of The Apes,{'theater': '2014-07-11'},"Andy Serkis,Jason Clarke,Kodi Smit-McPhee,Gary Oldman,Keri Russell,",2014,
89,94,Captain America: The Winter Soldier,{'theater': '2014-04-04'},"Chris Evans,Anthony Mackie,Sebastian Stan,Samuel L. Jackson,Scarlett Johansson,",2014,{u'imdb': u'3585004'}
-1,98,Edge of Tomorrow,{'theater': '2014-06-06'},"Tom Cruise,Emily Blunt,Bill Paxton,Jonas Armstrong,Tony Way,",2014,
-1,98,Jupiter Ascending,{'theater': '2014-07-18'},"Channing Tatum,Mila Kunis,Sean Bean,Eddie Redmayne,Douglas Booth,",2014,{u'imdb': u'1462756'}
-1,97,A Million Ways to Die in the West,{'theater': '2014-05-30'},"Seth MacFarlane,Charlize Theron,Amanda Seyfried,Giovanni Ribisi,Liam Neeson,",2014,
